,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
00401,201701B     ,            ,  ,,1,,2017年1月,104.3,25.6,6.6,8.8,3.7,4.7,4.4,16.2,2.6,10.2,-,106.6,26.3,6.8,9.4,3.8,4.9,4.6,16.3,2.4,10.4
00401,201702B     ,            ,  ,,1,,2017年2月,95.7,23.9,7.2,9.3,3.1,3.0,4.6,16.1,3.1,9.7,-,98.0,24.7,7.5,9.9,3.1,3.2,4.7,16.3,2.9,9.9
00401,201703B     ,            ,  ,,1,,2017年3月,112.9,27.1,7.8,8.8,3.6,4.4,4.7,21.4,4.5,11.4,-,115.4,28.1,8.1,9.3,3.8,4.5,4.9,21.6,4.1,11.7
00401,201704B     ,            ,  ,,1,,2017年4月,108.8,26.2,7.6,8.2,3.4,4.3,4.6,17.4,7.6,11.3,-,110.8,27.1,7.8,8.5,3.5,4.4,4.7,17.5,6.9,11.5
00401,201705B     ,            ,  ,,1,,2017年5月,103.8,27.5,7.9,7.1,3.9,4.3,4.6,17.1,3.1,10.9,-,105.6,28.5,8.1,7.3,4.0,4.3,4.7,17.1,2.9,11.1
00401,201706B     ,            ,  ,,1,,2017年6月,98.2,26.1,7.9,6.3,4.0,3.7,4.8,16.6,2.0,10.4,-,100.0,27.0,8.2,6.5,4.1,3.8,4.9,16.7,1.8,10.6
00401,201707B     ,            ,  ,,1,,2017年7月,102.9,27.6,8.2,6.0,5.3,4.2,4.6,17.6,2.1,10.8,-,105.0,28.7,8.4,6.2,5.5,4.4,4.7,17.6,2.0,11.0
00401,201708B     ,            ,  ,,1,,2017年8月,104.0,29.1,7.5,6.7,4.5,3.1,4.5,16.6,2.0,12.4,-,105.8,30.2,7.7,6.9,4.7,3.2,4.6,16.7,1.8,12.5
00401,201709B     ,            ,  ,,1,,2017年9月,100.3,26.2,7.8,6.5,3.8,3.2,4.5,17.2,4.6,10.2,-,101.9,26.9,8.0,6.7,4.0,3.2,4.5,17.3,4.2,10.4
00401,201710B     ,            ,  ,,1,,2017年10月,102.4,26.7,8.4,6.5,3.9,4.3,4.8,16.3,5.0,10.6,-,103.9,27.7,8.6,6.6,4.0,4.3,4.8,16.4,4.5,10.7
00401,201711B     ,            ,  ,,1,,2017年11月,102.1,26.7,8.2,6.8,4.2,4.8,5.0,16.6,2.6,10.5,-,103.1,27.3,8.4,7.0,4.4,4.7,5.1,16.6,2.4,10.6
00401,201712B     ,            ,  ,,1,,2017年12月,118.5,35.2,8.6,8.3,5.0,4.7,5.3,16.6,2.4,12.4,-,119.3,35.7,8.9,8.5,5.2,4.7,5.4,16.5,2.2,12.6
00401,201801B     ,            ,  ,,1,,2018年1月,105.3,26.3,6.9,9.7,3.5,4.4,4.8,16.8,2.3,10.0,-,105.8,26.3,7.1,9.9,3.6,4.6,4.8,16.8,2.1,10.3
00401,201802B     ,            ,  ,,1,,2018年2月,96.8,24.6,6.8,10.1,3.1,3.0,4.5,16.5,2.7,9.7,-,97.4,24.7,7.0,10.3,3.2,3.2,4.5,16.4,2.5,9.9
00401,201803B     ,            ,  ,,1,,2018年3月,112.1,27.3,7.9,9.2,3.9,4.6,5.0,19.6,4.6,11.7,-,113.1,27.8,8.2,9.4,4.1,4.7,5.1,19.5,4.2,11.9
00401,201804B     ,            ,  ,,1,,2018年4月,108.0,25.9,8.1,7.9,3.8,4.1,4.5,16.2,8.3,11.0,-,109.1,26.6,8.3,8.0,4.0,4.1,4.6,16.1,7.5,11.2
00401,201805B     ,            ,  ,,1,,2018年5月,104.0,27.5,8.1,7.2,3.8,4.3,4.8,17.4,3.2,11.2,-,104.9,28.2,8.3,7.2,4.0,4.3,4.8,17.3,2.9,11.4
00401,201806B     ,            ,  ,,1,,2018年6月,98.6,26.0,8.4,6.1,4.2,3.8,4.7,16.1,2.2,10.3,-,99.6,26.9,8.7,6.1,4.3,3.8,4.8,16.0,2.0,10.4
00401,201807B     ,            ,  ,,1,,2018年7月,103.2,27.4,8.4,6.1,5.3,3.9,4.9,17.7,2.3,10.5,-,104.1,28.1,8.6,6.1,5.5,4.0,4.9,17.5,2.1,10.7
00401,201808B     ,            ,  ,,1,,2018年8月,106.2,29.1,7.8,6.8,4.4,3.0,4.8,18.4,2.4,11.9,-,106.4,29.5,8.0,6.8,4.7,3.1,4.8,18.2,2.2,11.8
00401,201809B     ,            ,  ,,1,,2018年9月,101.2,26.5,7.4,6.8,3.7,3.2,4.5,17.7,4.7,10.7,-,101.3,26.8,7.7,6.7,3.9,3.2,4.5,17.6,4.3,10.8
00401,201810B     ,            ,  ,,1,,2018年10月,107.6,27.5,9.1,6.8,4.0,4.0,5.0,18.0,5.5,11.0,-,107.3,27.8,9.4,6.6,4.1,4.0,5.0,17.7,5.0,11.0
00401,201811B     ,            ,  ,,1,,2018年11月,104.4,26.7,8.5,6.5,4.2,4.6,5.1,18.1,2.7,10.5,-,104.4,27.2,8.8,6.3,4.3,4.6,5.1,17.9,2.4,10.6
00401,201812B     ,            ,  ,,1,,2018年12月,119.9,34.3,9.4,7.7,5.1,5.1,5.3,17.7,2.7,12.7,-,120.4,35.2,9.7,7.5,5.3,5.1,5.3,17.6,2.4,12.7
00401,201901B     ,            ,  ,,1,,2019年1月,106.5,25.8,7.5,9.3,3.8,4.6,4.7,16.4,2.8,10.6,-,106.8,26.2,7.7,9.1,4.0,4.7,4.8,16.4,2.5,10.7
00401,201902B     ,            ,  ,,1,,2019年2月,98.7,24.4,7.2,10.0,3.2,3.2,4.6,17.3,2.9,10.2,-,99.0,24.9,7.4,9.7,3.3,3.3,4.6,17.3,2.6,10.2
00401,201903B     ,            ,  ,,1,,2019年3月,114.5,27.3,8.0,9.2,3.9,4.5,5.0,21.1,4.8,11.6,-,114.8,27.9,8.2,8.8,4.1,4.6,5.0,21.0,4.4,11.7
00401,201904B     ,            ,  ,,1,,2019年4月,108.6,26.5,7.6,8.0,3.6,4.0,4.8,17.2,7.8,11.6,-,108.6,27.0,7.8,7.8,3.7,4.0,4.8,17.2,7.0,11.5
00401,201905B     ,            ,  ,,1,,2019年5月,108.1,27.5,8.7,7.8,4.3,4.2,4.7,17.6,3.9,11.8,-,108.1,28.1,8.9,7.6,4.3,4.2,4.7,17.5,3.5,11.8
00401,201906B     ,            ,  ,,1,,2019年6月,101.8,26.6,8.5,6.4,4.5,3.9,5.0,17.1,2.3,11.0,-,102.0,27.1,8.6,6.3,4.6,4.0,5.0,17.2,2.1,11.0
00401,201907B     ,            ,  ,,1,,2019年7月,103.8,27.5,8.4,6.0,5.0,3.7,5.1,17.7,2.4,11.1,-,104.1,27.9,8.6,5.9,5.2,3.8,5.1,17.7,2.2,11.1
00401,201908B     ,            ,  ,,1,,2019年8月,107.1,29.6,7.6,6.2,5.0,3.2,5.1,18.3,2.2,12.2,-,107.0,30.0,7.7,6.1,5.2,3.3,5.1,18.2,2.0,12.0
00401,201909B     ,            ,  ,,1,,2019年9月,109.6,27.2,8.4,6.6,5.8,3.6,5.5,18.8,4.7,11.8,-,109.4,27.4,8.5,6.5,5.9,3.6,5.5,18.9,4.2,11.8
00401,201910B     ,            ,  ,,1,,2019年10月,100.5,26.3,7.6,6.3,3.4,3.6,4.8,17.0,4.6,10.4,-,100.0,26.3,7.6,6.3,3.4,3.6,4.8,16.9,4.5,10.1
00401,201911B     ,            ,  ,,1,,2019年11月,99.9,26.7,7.9,6.4,3.8,4.5,5.2,16.5,2.4,10.7,-,99.3,26.8,7.9,6.2,3.8,4.4,5.2,16.4,2.3,10.5
00401,201912B     ,            ,  ,,1,,2019年12月,115.7,33.8,8.7,7.6,4.8,4.5,5.3,17.4,2.3,12.6,-,115.1,34.0,8.7,7.4,4.8,4.5,5.3,17.2,2.3,12.3
00401,202001B     ,            ,  ,,1,,2020年1月,102.7,25.8,7.6,8.7,3.5,4.3,4.8,15.7,2.3,10.6,19.5,102.1,25.7,7.6,8.5,3.5,4.4,4.8,15.5,2.3,10.5
00401,202002B     ,            ,  ,,1,,2020年2月,98.8,25.5,7.8,9.3,3.6,3.0,4.8,17.4,2.5,9.6,15.3,98.5,25.6,7.8,9.1,3.7,3.1,4.8,17.2,2.4,9.5
00401,202003B     ,            ,  ,,1,,2020年3月,105.0,26.9,7.8,9.0,3.9,3.4,4.9,19.1,4.3,9.1,16.7,104.6,27.1,7.8,8.8,3.9,3.4,4.9,18.9,4.2,9.0
00401,202004B     ,            ,  ,,1,,2020年4月,95.1,24.7,7.8,8.4,3.5,1.8,4.5,15.2,7.6,7.8,13.9,94.9,24.7,7.8,8.3,3.5,1.8,4.5,15.3,7.6,7.6
00401,202005B     ,            ,  ,,1,,2020年5月,90.0,26.1,7.1,7.3,4.5,2.7,4.4,13.6,3.3,7.6,13.5,89.8,26.0,7.1,7.2,4.5,2.7,4.4,13.8,3.3,7.4
00401,202006B     ,            ,  ,,1,,2020年6月,99.1,25.9,8.2,6.7,5.9,3.8,5.0,15.9,2.2,8.9,16.6,99.2,25.9,8.2,6.7,5.9,3.7,5.0,16.1,2.2,8.8
00401,202007B     ,            ,  ,,1,,2020年7月,95.8,26.6,7.8,6.0,5.6,3.1,5.2,14.8,2.3,9.0,15.5,95.8,26.6,7.8,6.0,5.6,3.1,5.1,14.8,2.3,8.9
00401,202008B     ,            ,  ,,1,,2020年8月,99.4,28.3,8.0,6.3,5.4,2.6,5.1,16.3,2.3,9.7,15.3,99.3,28.0,8.0,6.4,5.4,2.7,5.1,16.3,2.4,9.7
00401,202009B     ,            ,  ,,1,,2020年9月,96.8,26.3,7.9,6.6,4.4,2.7,4.7,16.3,4.6,9.1,14.3,96.9,26.2,7.9,6.7,4.4,2.7,4.7,16.3,4.6,9.2
00401,202010B     ,            ,  ,,1,,2020年10月,102.8,26.9,8.9,6.5,4.5,3.7,5.4,17.0,5.1,9.9,14.9,103.0,26.8,8.9,6.7,4.4,3.7,5.4,17.0,5.2,10.1
00401,202011B     ,            ,  ,,1,,2020年11月,101.0,26.7,9.1,6.5,4.4,3.8,5.2,17.2,3.0,9.7,15.2,101.6,26.9,9.1,6.7,4.3,3.7,5.2,17.2,3.0,10.0
00401,202012B     ,            ,  ,,1,,2020年12月,113.4,32.8,9.2,7.2,5.4,4.1,5.2,16.9,2.7,11.1,18.7,114.3,33.2,9.2,7.5,5.3,4.0,5.3,17.0,2.8,11.3
00401,202101B     ,            ,  ,,1,,2021年1月,96.1,24.6,7.6,8.5,4.0,3.1,4.6,15.9,2.4,8.4,16.9,96.3,24.6,7.5,8.9,3.9,3.1,4.7,15.9,2.4,8.4
00401,202102B     ,            ,  ,,1,,2021年2月,91.0,24.1,7.5,8.9,3.6,2.5,4.5,15.3,2.8,8.0,13.9,91.2,24.2,7.4,9.2,3.6,2.5,4.5,15.2,2.8,8.0
00401,202103B     ,            ,  ,,1,,2021年3月,110.8,26.5,9.8,9.0,4.4,3.6,5.1,19.5,4.9,10.0,17.8,110.9,26.7,9.7,9.3,4.3,3.6,5.1,19.5,4.9,10.0
00401,202104B     ,            ,  ,,1,,2021年4月,105.7,25.4,9.2,7.6,4.0,3.4,4.9,17.3,8.2,9.9,15.9,106.9,25.7,9.1,7.7,3.9,3.3,4.9,18.6,8.1,9.7
00401,202105B     ,            ,  ,,1,,2021年5月,99.1,26.4,8.6,6.9,4.5,3.1,4.9,16.8,3.7,9.0,15.4,99.9,26.5,8.4,6.9,4.4,3.1,4.9,18.0,3.6,8.8
00401,202106B     ,            ,  ,,1,,2021年6月,94.8,25.6,8.7,6.3,4.8,3.3,5.1,15.1,2.2,8.9,14.8,95.4,25.6,8.6,6.2,4.7,3.2,5.1,16.2,2.2,8.8
00401,202107B     ,            ,  ,,1,,2021年7月,97.6,27.0,8.4,5.8,5.3,3.1,5.0,16.2,2.1,9.3,15.3,98.0,27.2,8.2,5.7,5.2,3.1,5.0,17.2,2.1,9.1
00401,202108B     ,            ,  ,,1,,2021年8月,95.5,27.2,8.5,6.4,4.8,2.2,4.9,15.0,2.2,9.4,14.9,95.9,27.2,8.4,6.3,4.7,2.2,4.9,15.9,2.2,9.1
00401,202109B     ,            ,  ,,1,,2021年9月,96.7,25.4,8.4,6.5,3.9,2.4,5.2,16.2,4.5,8.6,15.6,96.6,25.1,8.2,6.3,3.9,2.4,5.2,17.3,4.5,8.4
00401,202110B     ,            ,  ,,1,,2021年10月,100.5,26.7,8.8,6.5,4.2,3.3,5.3,16.3,5.4,9.6,14.4,100.6,26.5,8.6,6.2,4.1,3.3,5.3,17.6,5.4,9.4
00401,202111B     ,            ,  ,,1,,2021年11月,100.5,26.5,8.7,6.7,4.3,4.0,5.5,16.5,2.8,9.8,15.9,100.4,26.3,8.5,6.3,4.2,3.9,5.5,17.8,2.8,9.6
00401,202112B     ,            ,  ,,1,,2021年12月,113.6,33.1,9.4,7.5,4.9,4.2,5.1,16.6,2.9,11.3,18.7,113.5,32.8,9.1,7.0,4.8,4.1,5.2,17.9,2.9,11.1
00401,202201B     ,            ,  ,,1,,2022年1月,99.5,25.2,7.8,9.3,4.1,3.2,4.6,16.4,2.3,8.9,17.7,99.1,24.8,7.6,8.6,4.1,3.2,4.7,17.8,2.3,8.8
00401,202202B     ,            ,  ,,1,,2022年2月,91.9,23.8,7.5,10.5,3.3,2.2,4.4,15.5,2.7,8.3,13.6,91.2,23.3,7.3,9.4,3.3,2.2,4.4,16.7,2.7,8.2
00401,202203B     ,            ,  ,,1,,2022年3月,107.4,26.5,8.1,10.3,4.1,3.6,4.9,18.3,4.4,10.1,17.1,106.0,25.9,7.9,9.1,4.0,3.6,5.0,19.6,4.4,9.9
00401,202204B     ,            ,  ,,1,,2022年4月,104.8,26.0,8.3,9.1,4.0,3.6,4.8,15.7,7.8,10.3,15.4,102.9,25.2,8.0,7.9,3.9,3.5,4.8,16.8,7.7,10.0
00401,202205B     ,            ,  ,,1,,2022年5月,101.7,27.6,8.2,8.0,4.5,3.5,4.8,16.0,3.6,10.3,15.2,99.6,26.7,8.0,6.9,4.2,3.4,4.9,17.2,3.5,10.0
00401,202206B     ,            ,  ,,1,,2022年6月,98.7,26.3,9.1,7.0,4.8,3.3,5.3,15.6,2.1,10.1,15.2,96.7,25.4,8.8,6.0,4.5,3.2,5.3,16.8,2.0,9.9
00401,202207B     ,            ,  ,,1,,2022年7月,100.5,27.6,8.8,6.5,5.1,3.2,5.2,16.6,2.2,10.1,15.4,97.8,26.6,8.4,5.5,4.8,3.1,5.2,17.6,2.1,9.7
00401,202208B     ,            ,  ,,1,,2022年8月,101.4,28.6,8.6,7.2,4.6,2.5,5.1,15.9,2.3,10.9,15.8,98.3,27.3,8.2,6.1,4.3,2.5,5.2,16.9,2.3,10.4
00401,202209B     ,            ,  ,,1,,2022年9月,100.6,27.0,8.6,7.4,4.4,2.7,4.9,16.7,4.4,9.9,14.7,97.1,25.6,8.2,6.2,4.0,2.6,4.9,17.7,4.4,9.5
00401,202210B     ,            ,  ,,1,,2022年10月,105.4,28.2,9.6,7.5,4.4,4.0,5.3,16.4,4.5,10.4,15.3,101.1,26.3,9.0,6.3,4.0,3.8,5.3,17.4,4.5,10.1
00401,202211B     ,            ,  ,,1,,2022年11月,102.0,27.4,9.2,7.5,4.3,3.8,5.4,16.3,2.7,10.3,15.2,97.5,25.4,8.6,6.2,3.9,3.7,5.4,17.3,2.6,10.2
00401,202212B     ,            ,  ,,1,,2022年12月,118.4,34.3,9.3,8.8,5.4,4.4,5.5,17.4,2.9,11.9,18.5,112.8,31.8,8.7,7.1,5.0,4.2,5.5,18.4,2.9,11.7
00401,202301B     ,            ,  ,,1,,2023年1月,105.6,27.1,8.2,11.2,4.0,3.6,4.7,16.4,2.3,10.2,17.9,100.1,24.7,7.6,9.0,3.7,3.5,4.7,17.4,2.3,9.9
00401,202302B     ,            ,  ,,1,,2023年2月,98.2,25.7,8.1,11.8,3.4,2.5,4.8,15.6,2.4,10.0,13.8,93.8,23.4,7.5,10.7,3.1,2.4,4.8,16.5,2.4,9.7
00401,202303B     ,            ,  ,,1,,2023年3月,112.6,28.2,8.5,10.6,4.3,3.8,5.3,19.4,4.2,11.3,16.9,107.1,25.6,7.9,9.6,3.8,3.7,5.3,20.5,4.2,10.8
00401,202304B     ,            ,  ,,1,,2023年4月,109.0,27.5,8.4,8.7,3.9,3.5,5.1,18.2,7.5,10.9,15.3,102.8,24.6,7.8,8.0,3.4,3.3,5.1,19.2,7.3,10.3
00401,202305B     ,            ,  ,,1,,2023年5月,102.5,28.9,8.0,7.5,4.3,3.5,5.0,16.2,3.8,11.0,14.3,96.7,25.7,7.4,7.1,3.8,3.3,4.9,17.1,3.7,10.3
00401,202306B     ,            ,  ,,1,,2023年6月,98.7,27.3,8.7,6.6,4.3,3.4,5.1,16.6,2.1,10.3,14.4,93.0,24.3,8.1,6.1,3.8,3.2,5.0,17.4,2.1,9.7
00401,202307B     ,            ,  ,,1,,2023年7月,104.2,29.6,8.4,6.1,5.5,3.6,5.2,18.0,2.0,10.7,15.2,97.6,26.1,7.8,5.7,4.8,3.4,5.1,18.7,1.9,9.9
00401,202308B     ,            ,  ,,1,,2023年8月,103.8,30.6,8.5,6.4,4.6,2.6,5.1,16.9,2.1,11.7,15.3,97.0,27.0,7.8,6.1,4.0,2.5,5.0,17.4,2.0,10.7
00401,202309B     ,            ,  ,,1,,2023年9月,100.3,28.4,8.1,6.4,4.2,2.4,5.0,17.1,4.1,10.3,14.4,93.4,24.7,7.4,6.3,3.7,2.2,4.9,17.5,4.0,9.5
00401,202310B     ,            ,  ,,1,,2023年10月,106.9,29.2,9.0,6.6,4.2,3.7,5.7,18.0,4.9,11.0,14.7,98.6,25.1,8.3,6.2,3.6,3.4,5.6,18.5,4.8,10.0
00401,202311B     ,            ,  ,,1,,2023年11月,104.0,28.8,8.4,6.6,4.7,4.2,5.2,17.2,2.7,11.0,15.2,96.2,24.9,7.7,6.1,4.0,3.9,5.1,17.8,2.6,10.1
00401,202312B     ,            ,  ,,1,,2023年12月,117.5,35.9,9.0,7.5,5.2,4.1,5.6,17.1,2.8,12.4,17.8,108.8,31.2,8.3,7.0,4.5,3.8,5.5,17.6,2.7,11.3
00401,202401B     ,            ,  ,,1,,2024年1月,103.5,27.7,7.5,8.8,4.3,3.6,4.9,16.0,2.5,10.3,18.0,95.7,23.9,6.8,8.2,3.7,3.4,4.8,16.5,2.5,9.4
00401,202402B     ,            ,  ,,1,,2024年2月,99.5,27.5,8.1,9.4,3.5,2.9,5.3,15.6,2.9,10.3,14.1,92.1,23.9,7.4,8.7,3.1,2.7,5.2,16.1,2.8,9.3
00401,202403B     ,            ,  ,,1,,2024年3月,114.1,30.2,8.5,9.3,4.3,3.9,5.6,19.8,4.4,11.6,16.5,105.1,26.1,7.8,8.5,3.8,3.7,5.5,20.4,4.3,10.3
00401,202404B     ,            ,  ,,1,,2024年4月,110.3,27.9,8.4,8.5,4.1,3.8,5.1,17.9,7.9,11.0,15.8,101.2,24.0,7.7,7.8,3.5,3.5,5.0,18.4,7.8,9.7
00401,202405B     ,            ,  ,,1,,2024年5月,105.3,29.2,8.9,7.3,4.4,3.5,5.1,16.4,4.1,11.1,15.3,96.2,25.0,8.1,6.5,3.7,3.2,5.0,16.9,4.0,9.8
00401,202406B     ,            ,  ,,1,,2024年6月,102.2,28.6,9.2,6.6,5.1,3.5,5.1,16.9,2.2,10.6,14.4,93.2,24.6,8.4,5.6,4.3,3.2,5.0,17.3,2.2,9.5
00401,202407B     ,            ,  ,,1,,2024年7月,105.5,29.7,9.3,6.5,5.6,3.4,5.2,17.1,2.2,11.6,15.0,95.9,25.5,8.5,5.5,4.7,3.1,5.1,17.5,2.2,10.3
00401,202408B     ,            ,  ,,1,,2024年8月,106.9,32.0,8.8,7.1,5.1,2.7,5.3,16.1,2.2,12.0,15.6,96.5,27.2,8.0,6.0,4.2,2.5,5.1,16.5,2.2,10.4
00401,202409B     ,            ,  ,,1,,2024年9月,104.5,29.3,8.7,7.5,4.2,2.7,5.0,17.5,4.3,10.8,14.6,94.6,24.6,7.8,6.8,3.5,2.4,4.8,17.9,4.2,9.5
00401,202410B     ,            ,  ,,1,,2024年10月,107.6,29.9,8.8,7.3,4.1,3.3,5.5,17.3,5.0,11.2,15.1,96.8,24.8,7.9,6.6,3.4,3.0,5.3,17.7,5.0,9.8
00401,202411B     ,            ,  ,,1,,2024年11月,105.9,30.0,9.3,6.9,4.4,3.9,5.5,16.9,2.9,11.2,15.0,94.8,24.7,8.3,6.0,3.7,3.6,5.3,17.3,2.8,9.8
00401,202412B     ,            ,  ,,1,,2024年12月,123.0,37.4,9.4,8.1,5.4,4.3,6.0,17.7,2.7,13.1,18.9,109.3,30.5,8.5,6.8,4.5,3.9,5.8,18.0,2.6,11.5
00401,202501B     ,            ,  ,,1,,2025年1月,107.3,29.0,7.7,10.0,3.9,3.6,5.1,16.7,2.5,10.7,18.2,94.8,23.3,6.9,8.3,3.3,3.3,4.9,16.8,2.5,9.4
00401,202502B     ,            ,  ,,1,,2025年2月,102.2,28.1,8.3,10.8,3.5,2.6,5.0,16.7,2.9,10.5,13.8,90.7,22.6,7.4,9.4,2.9,2.4,4.9,16.9,2.8,9.2
00401,202503B     ,            ,  ,,1,,2025年3月,117.7,31.6,8.2,10.4,4.4,3.8,5.2,20.0,4.4,12.0,17.6,104.1,25.4,7.3,9.1,3.7,3.5,5.0,20.1,4.4,10.5
00401,202504B     ,            ,  ,,1,,2025年4月,112.5,29.4,8.5,9.1,4.2,3.8,5.2,17.6,7.5,11.9,15.4,99.1,23.7,7.5,7.7,3.4,3.4,5.0,17.6,7.8,10.3
00401,202505B     ,            ,  ,,1,,2025年5月,108.7,31.0,8.4,7.7,4.5,3.7,5.1,17.6,4.0,11.6,15.0,95.4,24.9,7.4,6.4,3.7,3.3,4.9,17.7,4.2,10.0
00401,202506B     ,            ,  ,,1,,2025年6月,104.0,29.8,8.4,7.1,5.2,3.5,5.5,16.8,2.1,11.1,14.6,91.4,23.9,7.4,5.9,4.2,3.1,5.3,16.9,2.2,9.6
00401,202507B     ,            ,  ,,1,,2025年7月,106.9,31.0,8.5,6.8,5.7,3.3,5.5,17.8,2.3,11.5,14.6,93.8,24.8,7.5,5.7,4.6,3.0,5.3,17.7,2.4,9.9
00401,202508B     ,            ,  ,,1,,2025年8月,111.0,33.4,8.7,7.0,4.9,2.9,5.4,17.3,2.3,13.0,16.0,97.2,26.5,7.7,6.1,4.0,2.6,5.2,17.2,2.4,11.0
00401,202509B     ,            ,  ,,1,,2025年9月,107.3,30.5,8.1,7.4,4.4,2.5,5.5,18.4,4.0,11.4,15.1,94.1,24.0,7.2,6.6,3.6,2.3,5.3,18.3,4.2,9.8
00401,202510B     ,            ,  ,,1,,2025年10月,107.1,31.0,8.5,7.2,4.1,3.6,5.6,16.6,4.6,11.7,14.2,93.1,24.2,7.5,6.3,3.3,3.2,5.4,16.4,4.8,10.0
00401,202511B     ,            ,  ,,1,,2025年11月,108.7,31.8,8.2,7.0,4.8,4.3,5.7,17.2,2.9,12.3,14.6,94.1,24.7,7.2,5.9,3.9,3.8,5.4,17.1,3.0,10.5
00401,202512B     ,            ,  ,,1,,2025年12月,121.8,37.9,9.4,8.0,5.1,4.2,6.1,17.4,2.9,13.4,17.6,105.7,29.4,8.2,6.8,4.2,3.7,5.8,17.4,3.0,11.5
00401,202601B     ,            ,  ,,1,,2026年1月,107.9,30.3,8.3,9.4,4.2,3.5,5.2,16.1,2.3,11.3,17.2,93.7,23.4,7.3,8.0,3.5,3.2,5.0,16.2,2.4,9.8
00401,202602B     ,            ,  ,,1,,2026年2月,101.4,28.5,8.0,10.0,3.6,2.7,5.1,16.5,2.5,11.2,13.3,88.7,22.1,7.0,9.3,3.0,2.4,4.9,16.6,2.6,9.7
